variable,data_type,unit,nullable,key,domain,description
customer_to_pickup_location_assignment,text,-,yes,,"Random, Assigned",Rule used to assign customers to pickup locations. NULL for batches without pickup locations.
distribution_of_robot_depots,text,-,yes,,"Equal, Random",Rule used to place robot hubs in the service area. 'Equal' distributes them evenly over the area; the generator also offers a random placement. NULL where the batch does not record a rule.
available_robots_per_depot,varchar(255),-,no,,"Fixed, Random, Variable",Rule for the initial robot count at each depot. 'Fixed' gives every depot the same count; 'Random' and 'Variable' draw per depot. The realized per-location values are in raw_data.network_locations.initial_robot_availability.
maximum_robots_per_depot,varchar(255),-,no,,"Fixed, Random",Rule for the robot capacity of each hub. The realized per-location values are in raw_data.network_locations.max_robot_capacity.
time_windows_pickup_locations,text,-,yes,,"Location Independent, Depot Dependent",Rule used to derive time windows for pickup locations. NULL if pickup locations have no time windows or the batch has none.
time_window_length_pickup_location,double precision,[s],yes,,non-negative,Length of pickup location time windows. NULL if not applicable.
time_windows_customers,text,-,yes,,"Depot Dependent, Location Independent",Rule used to derive customer time windows. 'Depot Dependent' derives the window from the direct depot-to-customer travel time; NULL means the batch models NO customer time windows -- the corresponding raw_data.customers columns are then NULL and must not be coalesced to 0. Values are capitalized.
time_window_length_customer,double precision,[s],yes,,non-negative,Length of customer time windows. NULL if not applicable.
time_windows_pickup_customers,text,-,yes,,"Pickup Location Dependent, Depot Dependent, Location Independent",Rule used to derive time windows for pickup-request customers. NULL if not applicable.
time_window_length_pickup_customer,double precision,[s],yes,,non-negative,Length of pickup-customer time windows. NULL if not applicable.
deadline_multiplicator,text,[-],yes,,"interval as text, '[lower, upper]': '[2, 4]', '[3, 5]', '[4, 12]','[5, 8]',...","Interval of the multiplier drawn per customer and applied to the direct depot-to-customer travel time to obtain that customer's deadline. Wider intervals produce looser time windows. Parse it; it is not a numeric column."
no_of_instances,integer,[-],no,,positive integer,Number of instances generated in this batch.
creation_date,date,-,no,,ISO date,"Date the batch was generated."
description,text,-,yes,,free text,Human-readable summary of what distinguishes this batch from the default batch of the same publication.
distribution_of_dropoff_points,text,-,yes,,"Random, Equal",Rule used to place drop-off points in the service area.
